Junction,Elevation,Demand,Pattern
J511,105.08,1.763868462,DMA2_pat
J411,8.95,1.33356,DMA1_pat
J414,34.36,1.448796923,DMA1_pat
J415,65,0,
J416,42.6,0,
J417,37.38,1.936849615,DMA1_pat
J418,37.39,0,
J419,40.5,0,
J310,51.84,2.036224615,DMA4_pat
J311,55.95,1.772595,DMA4_pat
J312,68.48,0.113381538,DMA4_pat
J313,67.66,1.035083077,DMA4_pat
J314,14.94,2.156548846,DMA1_pat
J315,16.03,1.976200385,DMA1_pat
J316,12.98,0.93384,DMA1_pat
J318,53.67,2.404883077,DMA4_pat
J319,39.29,2.178615,DMA4_pat
J210,7.01,0.692307692,DMA1_pat
J211,11.27,2.373893077,DMA1_pat
J212,7.87,0.910046538,DMA1_pat
J214,8.67,1.312171154,DMA1_pat
J217,10.98,1.91778,DMA1_pat
J218,7.68,0.133760769,DMA1_pat
J219,52,1.481145,DMA5_pat
J110,15.92,1.171750385,DMA1_pat
J420,39.99,0,
J421,37.09,1.556741538,DMA1_pat
J422,38.81,0,
J1153,22.14,0.659483077,DMA1_pat
J1154,14.61,0.698355,DMA1_pat
J1155,15.54,2.074504615,DMA1_pat
J425,64.42,0,
J426,72.71,0,
J1157,22.21,2.465233846,DMA1_pat
J427,67.65,0,
J1158,28.25,0.567165,DMA1_pat
J428,16.2,1.737789231,DMA1_pat
J429,12.56,2.450008846,DMA1_pat
J320,46.73,0.609828462,DMA4_pat
J321,44.59,1.334681538,DMA4_pat
J322,48.02,0.265924615,DMA4_pat
J324,42.38,2.498536154,DMA4_pat
J1056,7.64,1.69044,DMA1_pat
J327,49.68,0.039259615,DMA4_pat
J1058,13.58,1.43796,DMA1_pat
J328,45.69,0.250130769,DMA4_pat
J329,44.05,0.257556923,DMA4_pat
J220,60,1.997210769,DMA5_pat
J221,77.07,0.711200769,DMA4_pat
J225,13.33,0.114123462,DMA1_pat
J226,11.1,0.739431923,DMA1_pat
J50,71.8,0.955025769,DMA4_pat
J51,72.42,0.752426538,DMA4_pat
J53,80,2.371428462,DMA5_pat
J54,80,2.449573846,DMA5_pat
J128,85.26,1.003435385,DMA2_pat
J55,71,0.6957,DMA5_pat
J129,62.85,0.401103462,DMA2_pat
J56,72,0.407053846,DMA5_pat
J57,59,1.616466923,DMA5_pat
J58,76,1.025183077,DMA5_pat
J59,57,1.031918077,DMA5_pat
J1160,24.91,1.781825769,DMA1_pat
J1161,25.25,0.815515385,DMA1_pat
J431,16.9,1.582946538,DMA1_pat
J432,19.88,0.518903077,DMA1_pat
J433,27.35,0.465033462,DMA1_pat
J434,16.48,1.458398077,DMA1_pat
J435,12.15,0.201786923,DMA1_pat
J436,17.68,1.144929231,DMA1_pat
J438,10.43,2.264325,DMA1_pat
J1169,55.42,0.653420769,DMA3_pat
J439,17.78,1.963030385,DMA1_pat
J330,58.25,0.947255769,DMA4_pat
J331,59.26,0.724163077,DMA4_pat
J332,36,1.986,DMA1_pat
J333,25.7,1.579355769,DMA1_pat
J334,29.28,1.569105,DMA1_pat
J335,25.08,1.071140769,DMA1_pat
J336,23.81,0.244935,DMA1_pat
J337,22.11,1.402600385,DMA1_pat
J231,71.9,1.736214231,DMA4_pat
J232,69.81,2.284294615,DMA4_pat
J233,74.23,0,
J234,64.06,0.045,DMA2_pat
J236,58,1.358401154,DMA5_pat
J237,73.14,2.29041,DMA5_pat
J130,54.52,1.075653462,DMA2_pat
J131,88.05,1.694869615,DMA2_pat
J132,74.55,1.256134615,DMA2_pat
J133,69.58,1.284343846,DMA2_pat
J60,55,1.157449615,DMA5_pat
J134,80.7,0.883681154,DMA2_pat
J135,70,1.012085769,DMA2_pat
J62,60,0.674329615,DMA5_pat
J64,80,0.138984231,DMA5_pat
J65,80,0.609613846,DMA5_pat
J66,72,2.447695385,DMA5_pat
J67,79,0.152290385,DMA5_pat
J68,73,0.975729231,DMA5_pat
J69,71,0.912488077,DMA5_pat
J1170,54.54,1.224736154,DMA3_pat
J441,69,0,
J444,29.46,1.186148077,DMA1_pat
J341,14.89,0.643168846,DMA1_pat
J344,54.7,1.57188,DMA3_pat
J345,49.97,1.355175,DMA3_pat
J347,54.4,0.390755769,DMA3_pat
J348,62.18,2.346363462,DMA4_pat
J349,36.41,1.636248462,DMA4_pat
J241,70,1.265218846,DMA5_pat
J242,65,0.976179231,DMA5_pat
J243,60,0.268438846,DMA5_pat
J244,70,1.959988846,DMA5_pat
J245,71,1.149101538,DMA5_pat
J246,55,1.884220385,DMA5_pat
J247,57,1.490236154,DMA5_pat
J248,54,2.081825769,DMA5_pat
J249,50,0.046895769,DMA5_pat
J142,5.53,0.525921923,DMA1_pat
J143,6.3,0.184883077,DMA1_pat
J70,70,0.263633077,DMA5_pat
J144,4.17,0.829235769,DMA1_pat
J71,77,0.320625,DMA5_pat
J72,75,0.000603462,DMA5_pat
J73,80,1.341985385,DMA5_pat
J74,75,1.642638462,DMA5_pat
J76,70,1.360035,DMA5_pat
J77,76,2.06853,DMA5_pat
J78,60.56,0.204733846,DMA4_pat
J350,33.82,0.479806154,DMA3_pat
J351,25.51,1.697283462,DMA4_pat
J352,47.55,1.135519615,DMA4_pat
J353,22.64,0.892558846,DMA4_pat
J354,18.68,0.374951538,DMA4_pat
J355,28.87,1.760989615,DMA4_pat
J358,22.3,2.321965385,DMA4_pat
J359,17.57,1.325530385,DMA4_pat
J250,67,0.224103462,DMA5_pat
J251,75.19,1.894323462,DMA2_pat
J252,83.82,1.004605385,DMA2_pat
J253,74.69,1.154686154,DMA2_pat
J254,74.59,1.230414231,DMA2_pat
J257,80,0.519069231,DMA2_pat
J154,43.69,0.82434,DMA1_pat
J155,44.41,0.238572692,DMA1_pat
J82,70.87,1.474481538,DMA4_pat
J156,46.16,0.424683462,DMA1_pat
J83,61.07,2.319041538,DMA4_pat
J84,43.82,0.244824231,DMA5_pat
J85,45,1.109656154,DMA5_pat
J159,37.41,0.682367308,DMA1_pat
J86,50,2.181366923,DMA5_pat
J87,42.63,1.876719231,DMA5_pat
J89,68.29,0.682355769,DMA2_pat
J360,20.71,1.684118077,DMA4_pat
J361,26.67,0.641571923,DMA4_pat
J362,43.66,0.224741538,DMA4_pat
J363,72.23,0,
J364,65,0,
J365,29.83,1.975323462,DMA1_pat
J366,14.46,0.743145,DMA1_pat
J1208,42.74,0.588205385,DMA4_pat
J367,13.6,1.201186154,DMA1_pat
J369,20.27,0.636504231,DMA1_pat
J160,43.69,0.851516538,DMA1_pat
J161,22.81,0.112335,DMA1_pat
J162,36.88,1.206070385,DMA1_pat
J163,16.2,0.515043462,DMA1_pat
J164,17.34,2.161336154,DMA1_pat
J91,64.09,1.471571538,DMA2_pat
J165,16.69,1.887271154,DMA1_pat
J166,23.95,2.319708462,DMA1_pat
J167,23.91,0.827541923,DMA1_pat
J94,30.75,1.357353462,DMA3_pat
J95,22.56,0.201728077,DMA1_pat
J96,30,1.585930385,DMA1_pat
J97,34.19,1.025091923,DMA1_pat
J976,6.3,2.401058077,DMA1_pat
J571,77.11,0.286558846,DMA2_pat
J572,76.4,2.308613077,DMA2_pat
J573,81.62,1.550524615,DMA2_pat
J574,67.36,0.869315769,DMA2_pat
J575,75.27,0.373114615,DMA2_pat
J576,80.8,1.199945769,DMA2_pat
J370,20.46,0.548523462,DMA1_pat
J371,68.81,0,
J372,23.2,0.326051538,DMA1_pat
J373,27.22,0.072214615,DMA1_pat
J374,13.7,0.863479615,DMA1_pat
J375,22.72,1.369171154,DMA1_pat
J376,12.18,2.307386538,DMA1_pat
J377,13.12,1.345615385,DMA1_pat
J1219,14.48,1.016053846,DMA1_pat
J379,10.25,2.118114231,DMA1_pat
J171,8.81,2.065564615,DMA1_pat
J172,6.25,1.681069615,DMA1_pat
J173,13,1.804736538,DMA1_pat
J174,6.11,2.491929231,DMA1_pat
J175,6.84,0.849514615,DMA1_pat
J177,13.14,1.238028462,DMA1_pat
J179,15.01,1.03242,DMA1_pat
J580,105.08,1.738204615,DMA2_pat
J486,86.11,0.447723462,DMA2_pat
J487,79,1.057295769,DMA2_pat
J488,89.16,1.357943077,DMA2_pat
J489,85.02,2.036659615,DMA2_pat
J381,36.02,1.352284615,DMA4_pat
J1223,3.48,1.068833077,DMA1_pat
J382,70.42,1.272670385,DMA4_pat
J384,42.51,0,
J385,76.6,0,
J180,8.77,1.224575769,DMA1_pat
J181,10.94,1.702048846,DMA1_pat
J1024,5.83,2.216500385,DMA1_pat
J183,13.28,0.926288077,DMA1_pat
J1025,8.61,0.756243462,DMA1_pat
J186,9.38,0.732167308,DMA1_pat
J187,9.81,0.375778846,DMA1_pat
J188,8.51,1.324553077,DMA1_pat
J189,7.58,0.558154615,DMA1_pat
J490,95.84,1.461324231,DMA2_pat
J491,76.93,0.908646923,DMA2_pat
J492,94.67,2.189936538,DMA2_pat
J493,77.62,1.195035,DMA2_pat
J494,93.76,0.476583462,DMA2_pat
J495,91.15,1.710155769,DMA2_pat
J496,91,1.868539615,DMA2_pat
J497,105.63,1.534836923,DMA2_pat
J498,90.12,1.955348077,DMA2_pat
J500,75.52,0.404359615,DMA2_pat
J499,72.24,2.01945,DMA2_pat
J501,80.97,0.506545385,DMA2_pat
J502,80.99,2.391905769,DMA2_pat
J503,99.65,0.164628462,DMA2_pat
J504,66.71,0.153805385,DMA2_pat
J394,70.53,0.346153846,DMA2_pat
J509,99.94,0.949013077,DMA2_pat
J399,75,0,
J401,70,0,
J406,71.74,0,
J295,56.42,0.434433462,DMA4_pat
J407,68,0,
J296,30.91,1.787041154,DMA4_pat
J408,7.93,1.332556154,DMA1_pat
J297,79.05,1.402524231,DMA4_pat
J298,74.46,0.541834615,DMA4_pat
J191,5.76,1.170013846,DMA1_pat
J303,50.42,1.865885769,DMA4_pat
J192,12.4,1.880776154,DMA1_pat
J193,12.99,0.997330385,DMA1_pat
J305,47.11,2.257748077,DMA4_pat
J194,13.46,1.865018077,DMA1_pat
J195,15.39,0.221398846,DMA1_pat
J196,13.35,1.586428846,DMA1_pat
J308,33.24,1.78257,DMA1_pat
J198,18.54,0.039205385,DMA1_pat
J200,15.75,1.077860769,DMA1_pat
J199,16.26,1.004957308,DMA1_pat
J201,35.86,0.688239231,DMA1_pat
J202,10.41,2.463435,DMA1_pat
J203,11.03,2.006469231,DMA1_pat
J204,21.51,1.740252692,DMA1_pat
J205,16.66,1.043997692,DMA1_pat
J206,14.12,1.836220385,DMA1_pat
J207,18.86,0.692920385,DMA1_pat
J208,11.25,0.891466154,DMA1_pat
J101,28.65,1.083642692,DMA1_pat
J102,36.96,2.362428462,DMA1_pat
J109,17.47,0.303874615,DMA1_pat
J1,16.82,1.614879231,DMA1_pat
J2,11.97,0.869582308,DMA1_pat
J3,29.02,0.261080769,DMA1_pat
J4,20.88,0.463505769,DMA1_pat
J5,22.75,0.194211923,DMA1_pat
J6,15.25,1.081899231,DMA1_pat
J7,24.91,2.398178077,DMA1_pat
J8,31.17,1.355073462,DMA1_pat
J9,31.89,1.235941154,DMA1_pat
J10,14.62,2.432416154,DMA1_pat
J11,18.43,0.5445,DMA1_pat
J12,29.27,0.947478462,DMA1_pat
J13,32.04,0.989611154,DMA1_pat
J14,37.91,0,
J15,102.84,0,
J16,88.89,0.346153846,DMA2_pat
J17,82.75,0,
J18,84.96,0,
J19,90.94,0.346153846,DMA2_pat
J20,80,0,
J21,80,0.346153846,DMA2_pat
J22,82.74,0,
J23,75.96,0,
J25,94.13,0.161226923,DMA2_pat
J26,76.35,1.890230769,DMA2_pat
J27,82.08,1.751285769,DMA2_pat
J28,45,1.242678462,DMA2_pat
J29,49,0.38859,DMA2_pat
J30,72.01,0.559344231,DMA2_pat
J31,69.78,0.815359615,DMA2_pat
J32,45,1.961221154,DMA2_pat
J33,48,0.125656154,DMA2_pat
J34,50,1.29504,DMA2_pat
J35,67.78,1.892574231,DMA2_pat
J36,51.08,2.001675,DMA2_pat
J37,66.19,0.813013846,DMA2_pat
J38,47,2.431821923,DMA2_pat
J24,34.53,2.010668077,DMA1_pat
J39,45.88,1.687065,DMA1_pat
J40,12.8,2.262823846,DMA1_pat
J123,38.41,2.189449615,DMA3_pat
J140,39.94,1.041620769,DMA3_pat
J141,41.45,0.307706538,DMA3_pat
J157,31.49,2.385394615,DMA3_pat
J158,25.88,1.993243846,DMA3_pat
J168,40.21,1.740713077,DMA3_pat
J170,46.87,1.004011154,DMA3_pat
J176,50.64,0.040744615,DMA3_pat
J178,58.87,0.419406923,DMA3_pat
J184,56.09,0.410585769,DMA3_pat
J185,43.71,1.274299615,DMA3_pat
J190,58.49,1.015156154,DMA3_pat
J197,41.86,0.265335,DMA3_pat
J213,52.07,0.690309231,DMA3_pat
J215,75.76,1.607618077,DMA3_pat
J216,53.06,2.122750385,DMA3_pat
J227,52.89,1.244923846,DMA3_pat
J238,44.16,0.469438846,DMA3_pat
J239,43.49,2.241541154,DMA3_pat
J255,35.31,0.932035385,DMA3_pat
J256,40,0,
J258,51.24,1.927081154,DMA3_pat
J260,32.53,0.545000769,DMA3_pat
J265,50.87,1.117483846,DMA3_pat
J266,39.83,0.59007,DMA3_pat
J267,22.31,2.195960769,DMA4_pat
J61,72,1.526081538,DMA5_pat
J92,72,0.936080769,DMA5_pat
J268,69.68,0.973755,DMA4_pat
J278,104.29,2.151474231,DMA2_pat
J281,83.72,1.464844615,DMA2_pat
J283,94.06,2.328898846,DMA2_pat
J284,77.38,1.292981538,DMA2_pat
J136,81.8,0.825751154,DMA2_pat
J137,9.11,2.171134615,DMA1_pat
J145,47.46,0.647651538,DMA3_pat
J118,75,0.648853846,DMA5_pat
J52,54.7,0.446733462,DMA4_pat
J81,50,0.867393462,DMA2_pat
J88,45,0.006264231,DMA2_pat
J90,84,1.855855385,DMA2_pat
J93,65,6.306651923,DMA2_pat
J147,68,0.696474231,DMA2_pat
J148,50,1.757425385,DMA2_pat
J149,40,1.012163077,DMA2_pat
J150,60,2.028928846,DMA2_pat
J151,60,1.854451154,DMA2_pat
J152,32,1.09416,DMA2_pat
J153,60,0.194951538,DMA2_pat
J169,42,1.026579231,DMA2_pat
J182,40,0.848438077,DMA2_pat
J222,32,1.776385385,DMA2_pat
J224,37,0.78072,DMA2_pat
J230,30,1.996933846,DMA4_pat
J235,53,0.379390385,DMA4_pat
J240,87,1.482478846,DMA2_pat
J269,56,0,
J273,56,0,
J274,56,0,
J276,56,0,
J280,56,0,
J285,56,0,
J287,40,0,
J288,40,0,
J289,40,0,
J290,40,0,
J291,65,0,
J292,40,0,
J299,40,0,
J300,40,0,
J301,44,0,
J302,44,0,
J304,44,0,
J306,44,0,
J307,44,0,
J309,44,0,
J317,44,0,
J323,44,0,
N1,46.5,1.730769231,DMA3_pat
N2,45.2,1.615384615,DMA3_pat
N3,45.9,1.038461538,DMA3_pat
N4,45.5,1.384615385,DMA3_pat
N5,45.1,0.807692308,DMA3_pat
N6,46.7,1.153846154,DMA3_pat
N7,46.3,1.384615385,DMA3_pat
N8,45.9,0.807692308,DMA3_pat
N9,45,0.980769231,DMA3_pat
N10,45.1,0.807692308,DMA3_pat
N11,47.46,0,
